Catalogue	Full Name	Alternatives	Species	Sample Type	Detection Range	Sensitivity	Experimental Method	Size	Marketing Price（USD）	Size	Marketing Price(USD)	Shelf Life	Gene ID	UniProtKB	Product Link
RDR-C4a-Hu	Human Complement Component 4a (C4a) ELISA Kit	C4a anaphylatoxin  	Homo sapiens human  	serum, plasma and other biological fluids.  	0.156-10ng/mL  	0.058ng/mL  	sandwich  	96T  	617.72	48T  	432.39	12 months  	720	P0C0L4	https://www.reddotbiotech.ca/elisa_kits/product/9420/Human_Complement_Component_4a_C4a_ELISA_Kit/
RD-C4d-Hu	Human Complement Component 4d (C4d) ELISA Kit	  	Homo sapiens human  	serum, plasma and other biological fluids.  	9.375-600pg/mL  	4.2pg/mL  	sandwich  	96T  	705	48T  	493.5	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/1474/Human_Complement_Component_4d_C4d_ELISA_Kit/
RDR-C4d-Hu	Human Complement Component 4d (C4d) ELISA Kit	  	Homo sapiens human  	serum, plasma and other biological fluids.  	9.37-600pg/mL  	4.2pg/mL  	sandwich  	96T  	740.25	48T  	518.18	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/9422/Human_Complement_Component_4d_C4d_ELISA_Kit/
RD-H1-Hu	Human Histone H1 (H1) ELISA Kit	  	Homo sapiens human  	tissue homogenates, cell lysates and other biological fluids.  	0.312-20ng/mL  	0.128ng/mL  	sandwich  	96T  	646.7	48T  	452.7	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/3149/Human_Histone_H1_H1_ELISA_Kit/
RDR-H1-Hu	Human Histone H1 (H1) ELISA Kit	  	Homo sapiens human  	tissue homogenates, cell lysates and other biological fluids.  	0.312-20ng/mL  	0.128ng/mL  	sandwich  	96T  	679.04	48T  	475.34	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/11628/Human_Histone_H1_H1_ELISA_Kit/
RD-LN-Hu	Human Laminin (LN) ELISA Kit	LAM  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	78.125-5000pg/mL  	31pg/mL  	sandwich  	96T  	588.3	48T  	411.8	12 months  	3915	P11047	https://www.reddotbiotech.ca/elisa_kits/product/3757/Human_Laminin_LN_ELISA_Kit/
RDR-LN-Hu	Human Laminin (LN) ELISA Kit	LAM  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	78.1-5000pg/mL  	31pg/mL  	sandwich  	96T  	617.72	48T  	432.39	12 months  	3915	P11047	https://www.reddotbiotech.ca/elisa_kits/product/9447/Human_Laminin_LN_ELISA_Kit/
RD-MMP23A-Hu	Human Matrix Metalloproteinase 23A (MMP23A) ELISA Kit	CA-MMP,MMP23-A,MIFR,MIFR-1,MMP-21,Pseudogene,Femalysin,Matrix metalloproteinase-23, soluble form  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	1.56-100ng/mL  	0.5ng/mL  	sandwich  	96T  	588.3	48T  	411.8	12 months  	8510	O75900	https://www.reddotbiotech.ca/elisa_kits/product/4031/Human_Matrix_Metalloproteinase_23A_MMP23A_ELISA_Kit/
RDR-MMP23A-Hu	Human Matrix Metalloproteinase 23A (MMP23A) ELISA Kit	CA-MMP,MMP23-A,MIFR,MIFR-1,MMP-21,Pseudogene,Femalysin,Matrix metalloproteinase-23, soluble form  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	1.56-100ng/mL  	0.5ng/mL  	sandwich  	96T  	617.72	48T  	432.39	12 months  	8510	O75900	https://www.reddotbiotech.ca/elisa_kits/product/10118/Human_Matrix_Metalloproteinase_23A_MMP23A_ELISA_Kit/
RD-PCI-Hu	Human Procollagen I (PCI) ELISA Kit	PCOL-I,PC-I,PC1,Type I Procollagen  	Homo sapiens human  	serum, plasma and other biological fluids.  	62.5-4000pg/mL  	22.3pg/mL  	sandwich  	96T  	588.3	48T  	411.8	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/4616/Human_Procollagen_I_PCI_ELISA_Kit/
RDR-PCI-Hu	Human Procollagen I (PCI) ELISA Kit	PCOL-I,PC-I,PC1,Type I Procollagen  	Homo sapiens human  	serum, plasma and other biological fluids.  	62.5-4000pg/mL  	22.3pg/mL  	sandwich  	96T  	617.72	48T  	432.39	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8800/Human_Procollagen_I_PCI_ELISA_Kit/
RD-PCII-Hu	Human Procollagen II (PCII) ELISA Kit	PCOL-II,PC-II,PC2,Type II Procollagen  	Homo sapiens human  	serum, plasma and other biological fluids.  	0.312-20ng/mL  	0.107ng/mL  	sandwich  	96T  	646.7	48T  	452.7	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/4617/Human_Procollagen_II_PCII_ELISA_Kit/
RDR-PCII-Hu	Human Procollagen II (PCII) ELISA Kit	PCOL-II,PC-II,PC2,Type II Procollagen  	Homo sapiens human  	serum, plasma and other biological fluids.  	0.312-20ng/mL  	0.107ng/mL  	sandwich  	96T  	679.04	48T  	475.34	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8809/Human_Procollagen_II_PCII_ELISA_Kit/
RD-PCIII-Hu	Human Procollagen III (PCIII) ELISA Kit	PCOL-III,PC-III,PC3,Type III Procollagen  	Homo sapiens human  	serum, plasma, tissue homogenates and other biological fluids.  	0.156-10ng/mL  	0.063ng/mL  	sandwich  	96T  	646.7	48T  	452.7	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/4618/Human_Procollagen_III_PCIII_ELISA_Kit/
RDR-PCIII-Hu	Human Procollagen III (PCIII) ELISA Kit	PCOL-III,PC-III,PC3,Type III Procollagen  	Homo sapiens human  	serum, plasma, tissue homogenates and other biological fluids.  	0.156-10ng/mL  	0.063ng/mL  	sandwich  	96T  	679.04	48T  	475.34	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8814/Human_Procollagen_III_PCIII_ELISA_Kit/
RD-Salusina-Hu	Human Salusin Alpha ELISA Kit	  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	15.625-1000pg/mL  	4.47pg/mL  	competitive inhibition  	96T  	617.5	48T  	432.3	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/6193/Human_Salusin_Alpha_ELISA_Kit/
RDR-Salusina-Hu	Human Salusin Alpha ELISA Kit	  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	15.625-1000pg/mL  	4.47pg/mL  	competitive inhibition  	96T  	648.3	48T  	453.9	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13439/Human_Salusin_Alpha_ELISA_Kit/
RD-aFP-Si	Monkey Alpha-Fetoprotein (aFP) ELISA Kit	A-FP,FETA,HPAFP,Alpha-Fetoglobulin,Alpha-1-fetoprotein  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	1.56-100ng/mL  	1.2ng/mL  	sandwich  	96T  	738.3	48T  	516.8	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/974/Monkey_Alpha_Fetoprotein_aFP_ELISA_Kit/
RDR-aFP-Si	Monkey Alpha-Fetoprotein (aFP) ELISA Kit	A-FP,FETA,HPAFP,Alpha-Fetoglobulin,Alpha-1-fetoprotein  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	1.56-100ng/mL  	1.2ng/mL  	sandwich  	96T  	775.22	48T  	542.64	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8454/Monkey_Alpha_Fetoprotein_aFP_ELISA_Kit/
RD-FSH-Si	Monkey Follicle Stimulating Hormone (FSH) ELISA Kit	  	Rhesus monkey Simian  	serum, plasma and other biological fluids.  	3.125-200ng/mL  	1.22ng/mL  	competitive inhibition  	96T  	738.3	48T  	516.8	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2782/Monkey_Follicle_Stimulating_Hormone_FSH_ELISA_Kit/
RDR-FSH-Si	Monkey Follicle Stimulating Hormone (FSH) ELISA Kit	  	Rhesus monkey Simian  	serum, plasma and other biological fluids.  	3.12-200ng/mL  	1.22ng/mL  	competitive inhibition  	96T  	775.22	48T  	542.64	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8447/Monkey_Follicle_Stimulating_Hormone_FSH_ELISA_Kit/
RD-GLb-Si	Monkey Galactosidase Beta (GLb) ELISA Kit	GL-B,b-GAL,bGAL,ELNR1,EBP,GLB1,Lactase,Elastin Receptor 1,67kDa,Elastin Receptor 1(67kD),Acid Beta-Galactosidase  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	3.125-200U/L  	1.54U/L  	sandwich  	96T  	738.3	48T  	516.8	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2971/Monkey_Galactosidase_Beta_GLb_ELISA_Kit/
